base_system_name,compliance_rate,compliance_rate_ci_high,compliance_rate_ci_low,constrained_regret,constrained_regret_ci_high,constrained_regret_ci_low,constraint_violation_count,duplicate_count,enrichment_at_k,feasible_utility,feasible_utility_ci_high,feasible_utility_ci_low,hit_recovery_at_k,mean_selected_activity,ndcg_at_k,ndcg_at_k_ci_high,ndcg_at_k_ci_low,num_cards,oracle_utility,pool_violation_count,regret_fraction,schema_error_rate,support_violation_count,system_name,valid_selected_count,wrong_k_rate,llm_model,llm_model_config_id,llm_provider,raw_compliance_rate,raw_compliance_rate_ci_high,raw_compliance_rate_ci_low,raw_feasible_utility,raw_feasible_utility_ci_high,raw_feasible_utility_ci_low,raw_ndcg_at_k,raw_ndcg_at_k_ci_high,raw_ndcg_at_k_ci_low,raw_schema_error_rate,raw_selection_count,raw_valid_selected_count,repair_delta_feasible_utility,repaired_from_empty_rate,repaired_rate
qsar_svm,1.0,1.0,1.0,7.639400000000001,8.7824425,6.6048575000000005,0.0,0.0,2.9915072282661623,81.3823,83.27085249999999,79.5321575,0.24058512014085945,8.13823,0.9095927114580383,0.9218529911674961,0.8969967524765665,50,89.0217,0.0,0.08581503161588692,0.0,0.0,qsar_svm,10.0,0.0,,,,,,,,,,,,,,,,,,
qsar_gbt,1.0,1.0,1.0,8.1338,9.460095,6.913820000000002,0.0,0.0,2.8419064391238265,80.8879,82.95622750000001,78.7784175,0.22876427443752959,8.08879,0.9001640764345573,0.9159403421698233,0.8843760174187069,50,89.0217,0.0,0.09136873369077428,0.0,0.0,qsar_gbt,10.0,0.0,,,,,,,,,,,,,,,,,,
qsar_rf,1.0,1.0,1.0,8.387599999999999,9.706574999999999,7.153904999999999,0.0,0.0,2.850354291500355,80.6341,82.5484375,78.651925,0.23199142785160723,8.06341,0.9006286945492078,0.9133463383162117,0.8867632932213103,50,89.0217,0.0,0.09421972395494581,0.0,0.0,qsar_rf,10.0,0.0,,,,,,,,,,,,,,,,,,
llm_validator,1.0,1.0,1.0,10.8333,12.389497499999996,9.176337499999997,0.0,0.0,2.4578021203977065,78.1884,80.092595,76.31607499999998,0.20322985991087025,7.81884,0.881293750124048,0.8985702145200756,0.8631494258551073,50,89.0217,0.0,0.12169280074408824,0.0,0.0,llm_validator__openai_frontier_selector,10.0,0.0,gpt-5.5,openai_frontier_selector,openai,0.976,0.9939999999999999,0.9540000000000001,76.758,79.21727499999999,74.328025,0.8676406104713894,0.8904021175592968,0.8443499354175057,0.0,10.0,9.76,1.4303999999999997,0.0,0.14
bare_llm,0.962,0.9780000000000001,0.9419499999999998,13.240499999999999,15.375482499999999,11.148587500000001,0.34,0.0,2.490227478777758,75.7812,78.05411,73.44707,0.20237829254608453,7.881120714285714,0.8470572056237144,0.8731104605297918,0.8174041308035663,50,89.0217,0.02,0.14873339871065144,0.0,0.02,bare_llm__openai_frontier_selector,9.62,0.0,gpt-5.5,openai_frontier_selector,openai,0.962,0.9780000000000001,0.9419499999999998,75.7812,78.05411,73.44707,0.8470572056237144,0.8731104605297918,0.8174041308035663,0.0,10.0,9.62,0.0,0.0,0.0
llm_tools_validator,1.0,1.0,1.0,15.042499999999999,17.120730000000002,12.912135,0.0,0.0,1.8227430509222677,73.9792,76.46072,71.69488499999999,0.14967293163435363,7.39792,0.8323358381733874,0.8557087723922912,0.8106457596745942,50,89.0217,0.0,0.16897565425059283,0.0,0.0,llm_tools_validator__anthropic_frontier,10.0,0.0,claude-opus-4-7,anthropic_frontier,anthropic,,,,,,,,,,,,,,,
llm_validator,1.0,1.0,1.0,15.282799999999998,17.6872875,13.100597499999997,0.0,0.0,1.8176244870500318,73.7389,76.19490499999999,71.16049249999999,0.15573740198280264,7.37389,0.8309550905248216,0.8555248389736229,0.8051903648005964,50,89.0217,0.0,0.17167499609645737,0.0,0.0,llm_validator__anthropic_frontier,10.0,0.0,claude-opus-4-7,anthropic_frontier,anthropic,,,,,,,,,,,,,,,
similarity_to_best_active,1.0,1.0,1.0,15.418499999999998,17.798275000000004,12.977087499999996,0.0,0.0,1.9188903625365692,73.6032,76.48960249999999,70.8247725,0.1483869927014858,7.36032,0.8252633550888693,0.8523447152430647,0.7970534755887936,50,89.0217,0.0,0.17319934353084696,0.0,0.0,similarity_to_best_active,10.0,0.0,,,,,,,,,,,,,,,,,,
llm_validator,1.0,1.0,1.0,20.62,23.1071925,18.3912125,0.0,0.0,1.1256349245333572,68.4017,70.594295,66.1220575,0.09198216060671448,6.84017,0.7625753130298435,0.7855323221102578,0.736003462468794,50,89.0217,0.0,0.2316289174437244,0.0,0.0,llm_validator__deepseek_fast,10.0,0.0,deepseek-v4-flash,deepseek_fast,deepseek,,,,,,,,,,,,,,,
llm_tools_validator,1.0,1.0,1.0,21.319499999999998,23.828284999999997,18.903380000000002,0.0,0.0,0.9582472344220497,67.7022,70.04420999999998,65.218465,0.08529226466203488,6.77022,0.7515057907623737,0.7792888527752684,0.7236735962657105,50,89.0217,0.0,0.23948655215526102,0.0,0.0,llm_tools_validator__openai_fast,10.0,0.0,gpt-5.4-mini,openai_fast,openai,,,,,,,,,,,,,,,
llm_validator,1.0,1.0,1.0,21.400399999999998,23.501235,19.138887499999996,0.0,0.0,1.0216001884899333,67.6213,70.0471275,65.3551325,0.08895235824162995,6.76213,0.7519676272558882,0.7778349455743293,0.7272289370065653,50,89.0217,0.0,0.2403953193434859,0.0,0.0,llm_validator__deepseek_frontier_selector,10.0,0.0,deepseek-v4-pro,deepseek_frontier_selector,deepseek,0.726,0.814,0.628,49.2013,55.69905,42.498777499999996,0.551187471070077,0.6216086321160665,0.4771586466133432,0.0,10.0,7.26,18.419999999999998,0.0,0.56
llm_tools_validator,1.0,1.0,1.0,21.7962,23.8959275,19.546345,0.0,0.0,0.9811384405839593,67.2255,69.43528249999999,65.05300249999999,0.08692459383661535,6.72255,0.7499669257905809,0.7751234576698729,0.7266491750670498,50,89.0217,0.0,0.24484142630392364,0.0,0.0,llm_tools_validator__anthropic_fast,10.0,0.0,claude-haiku-4-5-20251001,anthropic_fast,anthropic,,,,,,,,,,,,,,,
llm_tools_validator,1.0,1.0,1.0,21.804299999999998,23.901404999999997,19.644439999999996,0.0,0.0,0.9603716187288186,67.2174,69.6446675,64.82152,0.07716949168037009,6.72174,0.748728329921694,0.7741207411673371,0.7245532988979181,50,89.0217,0.0,0.24493241535490784,0.0,0.0,llm_tools_validator__deepseek_fast,10.0,0.0,deepseek-v4-flash,deepseek_fast,deepseek,,,,,,,,,,,,,,,
llm_validator,1.0,1.0,1.0,22.0216,24.240209999999998,19.8577625,0.0,0.0,0.8647902169507221,67.0001,69.4379625,64.5820775,0.07209297086348292,6.70001,0.7439824912101305,0.7685380389501164,0.7198611591294916,50,89.0217,0.0,0.24737339322884197,0.0,0.0,llm_validator__openai_fast,10.0,0.0,gpt-5.4-mini,openai_fast,openai,,,,,,,,,,,,,,,
llm_tools_validator,1.0,1.0,1.0,22.0739,24.454924999999996,19.761345,0.0,0.0,0.8877063902451543,66.9478,69.3235175,64.57960750000001,0.07253311845139357,6.69478,0.7401826987610386,0.7649978071553252,0.7143092971396173,50,89.0217,0.0,0.24796089043457942,0.0,0.0,llm_tools_validator__deepseek_frontier_selector,10.0,0.0,deepseek-v4-pro,deepseek_frontier_selector,deepseek,0.864,0.93,0.79,57.8486,62.815292500000005,52.644317499999985,0.6353692963580958,0.6901692076213103,0.5792533167283203,0.0,10.0,8.64,9.0992,0.0,0.38
llm_validator,1.0,1.0,1.0,22.1409,24.450630000000004,19.834049999999998,0.0,0.0,0.9314384257658495,66.8808,69.1917375,64.47537750000001,0.08231199165150681,6.68808,0.7408942718713442,0.7672224465161074,0.715473397684985,50,89.0217,0.0,0.24871351591802898,0.0,0.0,llm_validator__anthropic_fast,10.0,0.0,claude-haiku-4-5-20251001,anthropic_fast,anthropic,,,,,,,,,,,,,,,
random_valid,1.0,1.0,1.0,22.1783,23.620869999999996,20.683225,0.0,0.0,0.9758364700123242,66.8434,68.372455,65.30372000000001,0.07874191611471022,6.68434,0.7390839124019264,0.7561086360393507,0.72282126554635,50,89.0217,0.0,0.24913363820282022,0.0,0.0,random_valid,10.0,0.0,,,,,,,,,,,,,,,,,,
rules_only,1.0,1.0,1.0,22.9786,24.852455,20.937867499999996,0.0,0.0,0.8346456449100998,66.0431,68.1985575,64.05785250000001,0.0740353975179793,6.60431,0.7305447011525146,0.7526293820285361,0.7081898265066193,50,89.0217,0.0,0.25812358110438244,0.0,0.0,rules_only,10.0,0.0,,,,,,,,,,,,,,,,,,
llm_tools_validator,1.0,1.0,1.0,22.9786,24.852455,20.937867499999996,0.0,0.0,0.8346456449100998,66.0431,68.1985575,64.05785250000001,0.0740353975179793,6.60431,0.7305447011525146,0.7526293820285361,0.7081898265066193,50,89.0217,0.0,0.25812358110438244,0.0,0.0,llm_tools_validator__openai_frontier,10.0,0.0,gpt-5.5,openai_frontier,openai,,,,,,,,,,,,,,,
llm_validator,1.0,1.0,1.0,22.9786,24.852455,20.937867499999996,0.0,0.0,0.8346456449100998,66.0431,68.1985575,64.05785250000001,0.0740353975179793,6.60431,0.7305447011525146,0.7526293820285361,0.7081898265066193,50,89.0217,0.0,0.25812358110438244,0.0,0.0,llm_validator__openai_frontier,10.0,0.0,gpt-5.5,openai_frontier,openai,,,,,,,,,,,,,,,
llm_tools,0.778,0.836,0.71,29.599999999999998,34.66428749999999,24.453285,1.5,0.0,1.6412593270105715,59.4217,65.0810075,53.7082775,0.13419129722809664,7.567096190476191,0.6222912706515207,0.6834263941214996,0.5584064087479609,50,89.0217,0.0,0.33250319865830463,0.0,0.76,llm_tools__anthropic_frontier,7.78,0.0,claude-opus-4-7,anthropic_frontier,anthropic,,,,,,,,,,,,,,,
llm_tools,0.81,0.8880500000000001,0.72595,33.5894,40.2342375,26.8962125,1.12,0.0,0.8785079160243862,55.4323,61.293867500000005,49.522977499999996,0.07846512064097684,6.848087549603175,0.609595723232485,0.6765123166845678,0.5387614783147973,50,89.0217,0.0,0.37731699125044793,0.0,0.96,llm_tools__anthropic_fast,8.1,0.0,claude-haiku-4-5-20251001,anthropic_fast,anthropic,,,,,,,,,,,,,,,
llm_tools,0.81,0.8759999999999999,0.738,33.6139,38.79356,28.352469999999997,1.74,0.0,0.9014522060137635,55.4078,60.777975,50.22438749999999,0.08442681826370531,6.861638492063492,0.6078849864971202,0.6665203262464405,0.5510760666432845,50,89.0217,0.08,0.3775922050466347,0.0,0.34,llm_tools__deepseek_frontier_selector,8.1,0.0,deepseek-v4-pro,deepseek_frontier_selector,deepseek,0.81,0.8759999999999999,0.738,55.4078,60.777975,50.22438749999999,0.6078849864971202,0.6665203262464405,0.5510760666432845,0.0,10.0,8.1,0.0,0.0,0.0
bare_llm,0.682,0.7599999999999999,0.6000000000000001,35.699,42.6006,28.865507499999993,2.24,0.02,1.6048274783379577,53.3227,60.24869749999999,46.600494999999995,0.13194749929818558,7.768333829365079,0.5787344413724205,0.6567419169444885,0.4982007923860039,50,89.0217,0.0,0.40101458408455465,0.0,1.2,bare_llm__anthropic_frontier,6.82,0.0,claude-opus-4-7,anthropic_frontier,anthropic,,,,,,,,,,,,,,,
llm_tools,0.738,0.834,0.63795,37.631299999999996,44.991115,30.8124725,0.22,0.0,0.9300000968837678,51.3904,58.239515,44.150155000000005,0.07697103235248981,7.005537654320988,0.5471258548289782,0.6276466675021651,0.46340586236435616,50,89.0217,0.0,0.4227205276915628,0.0,2.4,llm_tools__openai_fast,7.38,0.0,gpt-5.4-mini,openai_fast,openai,,,,,,,,,,,,,,,
bare_llm,0.732,0.824,0.624,37.9544,45.6291575,30.603797499999995,0.42,0.0,0.9231865964435428,51.0673,57.73608500000001,43.612210000000005,0.08256393547699586,7.045274943310657,0.5569823806428502,0.6400371863429124,0.4733496301538128,50,89.0217,0.0,0.426349979836377,0.0,2.3,bare_llm__openai_fast,7.32,0.0,gpt-5.4-mini,openai_fast,openai,,,,,,,,,,,,,,,
