task_id,series,system_name,display_label,metric_source,feasible_utility,ndcg_at_k,action_validity,compliance_rate,constrained_regret,oracle_utility
CARA_LO_CHEMBL1006579_IC50_0001,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,78.57,1.0,1.0,1.0,0.0,78.57
CARA_LO_CHEMBL1048115_IC50_0002,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,77.0,1.0,1.0,1.0,0.0,77.0
CARA_LO_CHEMBL1243978_IC50_0003,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,70.86,1.0,1.0,1.0,0.0,70.86
CARA_LO_CHEMBL1614295_Potency_0004,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,57.239999999999995,1.0,1.0,1.0,0.0,57.239999999999995
CARA_LO_CHEMBL2032586_IC50_0005,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,88.24,1.0,1.0,1.0,0.0,88.24
CARA_LO_CHEMBL2038596_IC50_0006,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,79.01,1.0,1.0,1.0,0.0,79.01
CARA_LO_CHEMBL2046255_IC50_0007,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,71.82,1.0,1.0,1.0,0.0,71.82
CARA_LO_CHEMBL2328568_IC50_0008,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,85.99000000000001,1.0,1.0,1.0,0.0,85.99000000000001
CARA_LO_CHEMBL3431931_IC50_0009,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,63.300000000000004,1.0,1.0,1.0,0.0,63.300000000000004
CARA_LO_CHEMBL3705123_IC50_0010,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,80.49999999999999,1.0,1.0,1.0,0.0,80.49999999999999
CARA_LO_CHEMBL3705125_IC50_0011,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,78.92,1.0,1.0,1.0,0.0,78.92
CARA_LO_CHEMBL3705142_IC50_0012,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,72.94000000000001,1.0,1.0,1.0,0.0,72.94000000000001
CARA_LO_CHEMBL3705264_IC50_0013,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,70.76,1.0,1.0,1.0,0.0,70.76
CARA_LO_CHEMBL3705271_IC50_0014,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,82.18999999999998,1.0,1.0,1.0,0.0,82.18999999999998
CARA_LO_CHEMBL3705334_IC50_0015,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,72.96999999999998,1.0,1.0,1.0,0.0,72.96999999999998
CARA_LO_CHEMBL3705357_IC50_0016,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,95.22999999999998,1.0,1.0,1.0,0.0,95.22999999999998
CARA_LO_CHEMBL3705358_IC50_0017,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,73.38,1.0,1.0,1.0,0.0,73.38
CARA_LO_CHEMBL3705399_Ki_0018,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,87.44000000000001,1.0,1.0,1.0,0.0,87.44000000000001
CARA_LO_CHEMBL3705467_IC50_0019,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,73.1,1.0,1.0,1.0,0.0,73.1
CARA_LO_CHEMBL3705476_IC50_0020,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,71.79999999999998,1.0,1.0,1.0,0.0,71.79999999999998
CARA_LO_CHEMBL3705480_Ki_0021,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,95.5,1.0,1.0,1.0,0.0,95.5
CARA_LO_CHEMBL3705486_Ki_0022,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,83.565,1.0,1.0,1.0,0.0,83.565
CARA_LO_CHEMBL3705705_IC50_0023,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,80.045,1.0,1.0,1.0,0.0,80.045
CARA_LO_CHEMBL3705715_Ki_0024,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,97.74999999999999,1.0,1.0,1.0,0.0,97.74999999999999
CARA_LO_CHEMBL3705825_Ki_0025,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,82.4,1.0,1.0,1.0,0.0,82.4
CARA_LO_CHEMBL3705860_IC50_0026,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,91.41,1.0,1.0,1.0,0.0,91.41
CARA_LO_CHEMBL3705868_IC50_0027,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,73.55,1.0,1.0,1.0,0.0,73.55
CARA_LO_CHEMBL3705882_Ki_0028,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,86.34999999999998,1.0,1.0,1.0,0.0,86.34999999999998
CARA_LO_CHEMBL3705899_IC50_0029,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,84.27,1.0,1.0,1.0,0.0,84.27
CARA_LO_CHEMBL3705917_IC50_0030,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,72.78999999999999,1.0,1.0,1.0,0.0,72.78999999999999
CARA_LO_CHEMBL3705960_IC50_0031,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,90.17,1.0,1.0,1.0,0.0,90.17
CARA_LO_CHEMBL3705963_IC50_0032,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,68.44,1.0,1.0,1.0,0.0,68.44
CARA_LO_CHEMBL3705983_IC50_0033,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,71.49000000000001,1.0,1.0,1.0,0.0,71.49000000000001
CARA_LO_CHEMBL3706272_IC50_0034,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,85.58999999999999,1.0,1.0,1.0,0.0,85.58999999999999
CARA_LO_CHEMBL3706298_IC50_0035,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,91.16,1.0,1.0,1.0,0.0,91.16
CARA_LO_CHEMBL3706356_IC50_0036,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,81.66499999999999,1.0,1.0,1.0,0.0,81.66499999999999
CARA_LO_CHEMBL3706360_IC50_0037,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,80.38,1.0,1.0,1.0,0.0,80.38
CARA_LO_CHEMBL3707497_IC50_0038,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,75.73999999999998,1.0,1.0,1.0,0.0,75.73999999999998
CARA_LO_CHEMBL3707783_IC50_0039,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,79.38,1.0,1.0,1.0,0.0,79.38
CARA_LO_CHEMBL3707789_Ki_0040,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,85.22000000000001,1.0,1.0,1.0,0.0,85.22000000000001
CARA_LO_CHEMBL3707834_Ki_0041,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,83.56,1.0,1.0,1.0,0.0,83.56
CARA_LO_CHEMBL3707951_IC50_0042,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,77.65,1.0,1.0,1.0,0.0,77.65
CARA_LO_CHEMBL3707962_IC50_0043,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,86.0,1.0,1.0,1.0,0.0,86.0
CARA_LO_CHEMBL3734174_IC50_0044,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,86.5,1.0,1.0,1.0,0.0,86.5
CARA_LO_CHEMBL3734552_EC50_0045,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,94.77000000000001,1.0,1.0,1.0,0.0,94.77000000000001
CARA_LO_CHEMBL3883076_IC50_0046,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,65.04,1.0,1.0,1.0,0.0,65.04
CARA_LO_CHEMBL3887029_Ki_0047,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,82.6,1.0,1.0,1.0,0.0,82.6
CARA_LO_CHEMBL3887030_Ki_0048,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,65.26,1.0,1.0,1.0,0.0,65.26
CARA_LO_CHEMBL3887063_IC50_0049,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,88.62,1.0,1.0,1.0,0.0,88.62
CARA_LO_CHEMBL3887074_IC50_0050,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,90.91999999999999,1.0,1.0,1.0,0.0,90.91999999999999
CARA_LO_CHEMBL3887224_IC50_0051,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,55.910000000000004,1.0,1.0,1.0,0.0,55.910000000000004
CARA_LO_CHEMBL3887259_EC50_0052,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,72.4,1.0,1.0,1.0,0.0,72.4
CARA_LO_CHEMBL3887288_IC50_0053,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,90.0,1.0,1.0,1.0,0.0,90.0
CARA_LO_CHEMBL3887334_IC50_0054,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,81.57,1.0,1.0,1.0,0.0,81.57
CARA_LO_CHEMBL3887429_IC50_0055,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,84.21,1.0,1.0,1.0,0.0,84.21
CARA_LO_CHEMBL3887731_Ki_0056,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,93.75,1.0,1.0,1.0,0.0,93.75
CARA_LO_CHEMBL3887866_IC50_0057,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,78.16999999999999,1.0,1.0,1.0,0.0,78.16999999999999
CARA_LO_CHEMBL3887887_IC50_0058,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,78.94,1.0,1.0,1.0,0.0,78.94
CARA_LO_CHEMBL3888033_IC50_0059,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,93.69999999999999,1.0,1.0,1.0,0.0,93.69999999999999
CARA_LO_CHEMBL3888094_IC50_0060,Oracle upper-bound,oracle_valid_topk,Oracle upper-bound,final,77.9,1.0,1.0,1.0,0.0,77.9
