metric,winner,value,lower_is_better
feasible_utility,oracle_valid_topk,79.56263736263736,False
raw_feasible_utility,oracle_valid_topk,79.56263736263736,False
ndcg_at_k,oracle_valid_topk,1.0,False
raw_ndcg_at_k,oracle_valid_topk,1.0,False
action_validity,oracle_valid_topk,1.0,False
raw_action_validity,oracle_valid_topk,1.0,False
compliance_rate,oracle_valid_topk,1.0,False
raw_compliance_rate,oracle_valid_topk,1.0,False
constrained_regret,oracle_valid_topk,0.0,True
schema_error_rate,oracle_valid_topk,0.0,True
raw_schema_error_rate,oracle_valid_topk,0.0,True
