action_validity,action_validity_ci_high,action_validity_ci_low,base_system_name,compliance_rate,compliance_rate_ci_high,compliance_rate_ci_low,constrained_regret,constrained_regret_ci_high,constrained_regret_ci_low,constraint_violation_count,duplicate_count,enrichment_at_k,feasible_utility,feasible_utility_ci_high,feasible_utility_ci_low,hit_recovery_at_k,mean_selected_activity,ndcg_at_k,ndcg_at_k_ci_high,ndcg_at_k_ci_low,num_cards,oracle_utility,pool_violation_count,raw_action_validity,raw_action_validity_ci_high,raw_action_validity_ci_low,raw_compliance_rate,raw_compliance_rate_ci_high,raw_compliance_rate_ci_low,raw_feasible_utility,raw_feasible_utility_ci_high,raw_feasible_utility_ci_low,raw_ndcg_at_k,raw_ndcg_at_k_ci_high,raw_ndcg_at_k_ci_low,raw_schema_error_rate,raw_selection_count,raw_valid_selected_count,regret_fraction,repair_delta_feasible_utility,repaired_from_empty_rate,repaired_rate,schema_error_rate,support_violation_count,system_name,valid_selected_count,wrong_k_rate,actual_cache_creation_input_tokens,actual_cached_input_tokens,actual_cost_basis,actual_cost_usd,actual_input_tokens,actual_output_tokens,actual_reasoning_output_tokens,actual_total_tokens,actual_uncached_input_tokens,cost_coverage,cost_records,latency_coverage,latency_ms_max,latency_ms_mean,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_total,latency_records,llm_model,llm_model_config_id,llm_provider,model,model_config_id,observed_cost_usd,operational_metrics_schema_version,operational_num_records,pricing_source_url,provider,provider_attempt_records,provider_attempts,usage_coverage,usage_payload_records,usage_records,repair_mode,repair_policy,repair_source_system_name,repair_source_trace_sha256,system_group,display_label,condition_label,condition_description
1.0,1.0,1.0,oracle_valid_topk,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.679335979648012,79.56263736263736,81.8123379120879,77.4855673076923,0.5324150854222139,7.956263736263736,1.0,1.0,1.0,91,79.56263736263736,0.0,1.0,1.0,1.0,1.0,1.0,1.0,79.56263736263736,81.8123379120879,77.4855673076923,1.0,1.0,1.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,oracle_valid_topk,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oracle,Oracle upper-bound,,
1.0,1.0,1.0,qsar_svm,1.0,1.0,1.0,4.596263736263736,5.194656593406593,4.0333653846153865,0.0,0.0,2.3794210569071543,74.96637362637362,77.03214835164835,72.83047252747252,0.3439106846508377,7.496637362637363,0.9375322862110564,0.9453800877458967,0.9294684864017896,91,79.56263736263736,0.0,1.0,1.0,1.0,1.0,1.0,1.0,74.96637362637362,77.03214835164835,72.83047252747252,0.9375322862110564,0.9453800877458967,0.9294684864017896,0.0,10.0,10.0,0.057769122399933696,0.0,0.0,0.0,0.0,0.0,qsar_svm,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QSAR,QSAR linear SVR,,
1.0,1.0,1.0,qsar_rf,1.0,1.0,1.0,4.604670329670329,5.234762362637362,4.008537087912085,0.0,0.0,2.3885386632209435,74.95796703296703,77.14238873626373,72.82471565934065,0.3449513596653373,7.495796703296703,0.9382337347168516,0.9456950385385957,0.9303229833139897,91,79.56263736263736,0.0,1.0,1.0,1.0,1.0,1.0,1.0,74.95796703296703,77.14238873626373,72.82471565934065,0.9382337347168516,0.9456950385385957,0.9303229833139897,0.0,10.0,10.0,0.057874782464572797,0.0,0.0,0.0,0.0,0.0,qsar_rf,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QSAR,QSAR random forest,,
1.0,1.0,1.0,qsar_gbt,1.0,1.0,1.0,4.812692307692308,5.450050824175825,4.197844780219781,0.0,0.0,2.3656819568695866,74.74994505494506,76.85855494505493,72.621260989011,0.3441865631404047,7.4749945054945055,0.9351724528670258,0.9430230763146761,0.9267483804528904,91,79.56263736263736,0.0,1.0,1.0,1.0,1.0,1.0,1.0,74.74994505494506,76.85855494505493,72.621260989011,0.9351724528670258,0.9430230763146761,0.9267483804528904,0.0,10.0,10.0,0.06048935112289717,0.0,0.0,0.0,0.0,0.0,qsar_gbt,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QSAR,QSAR gradient boosting,,
1.0,1.0,1.0,bare_llm,1.0,1.0,1.0,5.5989560439560435,6.332072802197801,4.914208791208791,0.0,0.0,2.0971194807052718,73.96368131868132,75.93179395604396,71.86111401098901,0.2959934167017959,7.396368131868132,0.9288489096634897,0.9363148646796051,0.9204300994146033,91,79.56263736263736,0.0,0.7912087912087912,0.8681318681318682,0.7032967032967034,0.9846153846153847,0.9934065934065934,0.9725274725274725,72.96642857142857,75.17660027472527,70.74033241758244,0.9157688048757692,0.9266595004408027,0.9023197796762332,0.14285714285714285,10.0,9.846153846153847,0.07037167481561282,0.9972527472527473,0.0,0.2087912087912088,0.0,0.0,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,10.0,0.0,0.0,0.0,provider-reported token usage multiplied by frozen per-token pricing,11.62303,1887476.0,72855.0,50992.0,1960331.0,1887476.0,1.0,91.0,1.0,39763.0,20329.978021978022,18813.0,10224.0,31880.5,1850028.0,91.0,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,openai,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,11.62303,1.0.0,91.0,https://developers.openai.com/api/docs/models/gpt-5.5,openai,91.0,91.0,1.0,91.0,91.0,posthoc,specguard.deterministic-harness-repair.v1,bare_llm__openai_gpt_5_5_2026_04_23_selector,b7e016817b5eb6497f0f9b45e358e6cabe4a2bad718a1662621cc86579cef38f,LLM,"Bare LLM + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON","OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",Release-candidate direct-JSON condition pinned to the GPT-5.5 snapshot dated 2026-04-23.
1.0,1.0,1.0,llm_tools,1.0,1.0,1.0,5.6740109890109895,6.40840934065934,5.0169505494505495,0.0,0.0,2.110573693568243,73.88862637362638,75.98367032967032,71.81354807692307,0.299080071778773,7.388862637362637,0.9273202691174237,0.9351131612780398,0.918487569808044,91,79.56263736263736,0.0,0.7472527472527473,0.8351648351648352,0.6593406593406593,0.9835164835164835,0.9934065934065934,0.9703296703296704,72.80467032967033,74.97447802197803,70.66784203296704,0.9163412966046165,0.9265514660476091,0.9046901178031206,0.15384615384615385,10.0,9.835164835164836,0.07131501892212923,1.083956043956044,0.0,0.25274725274725274,0.0,0.0,llm_tools__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,10.0,0.0,0.0,0.0,provider-reported token usage multiplied by frozen per-token pricing,14.857605,2517183.0,75723.0,53886.0,2592906.0,2517183.0,1.0,91.0,1.0,54198.0,18928.89010989011,16024.0,9782.0,35653.0,1722529.0,91.0,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,openai,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,14.857605,1.0.0,91.0,https://developers.openai.com/api/docs/models/gpt-5.5,openai,91.0,91.0,1.0,91.0,91.0,posthoc,specguard.deterministic-harness-repair.v1,llm_tools__openai_gpt_5_5_2026_04_23_selector,679aad0b6a0678d98f8e73135ccc43911cd40d7b7fe87704a587223af4f1e3f1,LLM,"LLM plus tool summaries + post-hoc repair - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON","OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",Release-candidate direct-JSON condition pinned to the GPT-5.5 snapshot dated 2026-04-23.
1.0,1.0,1.0,similarity_to_best_active,1.0,1.0,1.0,6.274395604395605,7.093800824175823,5.513074175824176,0.0,0.0,1.9820994735498276,73.28824175824175,75.23557692307692,71.26383516483517,0.27948591161628455,7.328824175824176,0.918716458128198,0.927120513278693,0.9093643101159693,91,79.56263736263736,0.0,1.0,1.0,1.0,1.0,1.0,1.0,73.28824175824175,75.23557692307692,71.26383516483517,0.918716458128198,0.927120513278693,0.9093643101159693,0.0,10.0,10.0,0.07886108118560262,0.0,0.0,0.0,0.0,0.0,similarity_to_best_active,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baseline,Similarity-to-best-active baseline,,
0.7912087912087912,0.8681318681318682,0.7032967032967034,bare_llm,0.9846153846153847,0.9934065934065934,0.9725274725274725,6.596208791208791,7.747328296703297,5.634189560439559,0.15384615384615385,0.0,2.088919585362519,72.96642857142857,75.17660027472527,70.74033241758244,0.2943712293653229,7.411852869352869,0.9157688048757692,0.9266595004408027,0.9023197796762332,91,79.56263736263736,0.0,0.7912087912087912,0.8681318681318682,0.7032967032967034,0.9846153846153847,0.9934065934065934,0.9725274725274725,72.96642857142857,75.17660027472527,70.74033241758244,0.9157688048757692,0.9266595004408027,0.9023197796762332,0.14285714285714285,10.0,9.846153846153847,0.08290585895417253,0.0,0.0,0.0,0.14285714285714285,0.0,bare_llm__openai_gpt_5_5_2026_04_23_selector,9.846153846153847,0.0,0.0,0.0,provider-reported token usage multiplied by frozen per-token pricing,11.62303,1887476.0,72855.0,50992.0,1960331.0,1887476.0,1.0,91.0,1.0,39763.0,20329.978021978022,18813.0,10224.0,31880.5,1850028.0,91.0,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,openai,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,11.62303,1.0.0,91.0,https://developers.openai.com/api/docs/models/gpt-5.5,openai,91.0,91.0,1.0,91.0,91.0,,,,,LLM,"Bare LLM - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON","OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",Release-candidate direct-JSON condition pinned to the GPT-5.5 snapshot dated 2026-04-23.
0.7472527472527473,0.8351648351648352,0.6593406593406593,llm_tools,0.9835164835164835,0.9934065934065934,0.9703296703296704,6.757967032967033,7.891103021978022,5.802170329670331,0.16483516483516483,0.0,2.1080462210407704,72.80467032967033,74.97447802197803,70.66784203296704,0.29853062122932245,7.409106837606838,0.9163412966046165,0.9265514660476091,0.9046901178031206,91,79.56263736263736,0.0,0.7472527472527473,0.8351648351648352,0.6593406593406593,0.9835164835164835,0.9934065934065934,0.9703296703296704,72.80467032967033,74.97447802197803,70.66784203296704,0.9163412966046165,0.9265514660476091,0.9046901178031206,0.15384615384615385,10.0,9.835164835164836,0.08493895196265297,0.0,0.0,0.0,0.15384615384615385,0.0,llm_tools__openai_gpt_5_5_2026_04_23_selector,9.835164835164836,0.0,0.0,0.0,provider-reported token usage multiplied by frozen per-token pricing,14.857605,2517183.0,75723.0,53886.0,2592906.0,2517183.0,1.0,91.0,1.0,54198.0,18928.89010989011,16024.0,9782.0,35653.0,1722529.0,91.0,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,openai,gpt-5.5-2026-04-23,openai_gpt_5_5_2026_04_23_selector,14.857605,1.0.0,91.0,https://developers.openai.com/api/docs/models/gpt-5.5,openai,91.0,91.0,1.0,91.0,91.0,,,,,LLM,"LLM plus tool summaries - OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON","OpenAI gpt-5.5-2026-04-23, low reasoning, direct JSON",Release-candidate direct-JSON condition pinned to the GPT-5.5 snapshot dated 2026-04-23.
1.0,1.0,1.0,bare_llm,1.0,1.0,1.0,7.658296703296703,8.608032967032967,6.679877747252746,0.0,0.0,1.80090190295372,71.90434065934066,74.0345054945055,69.84990659340659,0.2573715712463722,7.190434065934066,0.907889108289083,0.9184407739523707,0.8975924569604079,91,79.56263736263736,0.0,0.18681318681318682,0.27472527472527475,0.10989010989010989,0.7230769230769231,0.778021978021978,0.6669780219780219,53.95554945054945,58.40253021978022,49.42785714285714,0.6571038039810809,0.7108723185693614,0.6005759737938862,0.1978021978021978,10.0,7.230769230769231,0.09625493770890306,17.94879120879121,0.0,0.8131868131868132,0.0,0.0,bare_llm__anthropic_opus_4_8_selector__posthoc_repair,10.0,0.0,0.0,0.0,provider-reported token usage multiplied by frozen per-token pricing,13.463460000000001,2519132.0,34712.0,0.0,2553844.0,2519132.0,1.0,91.0,1.0,14243.0,6505.2967032967035,6234.0,5172.0,8124.5,591982.0,91.0,claude-opus-4-8,anthropic_opus_4_8_selector,anthropic,claude-opus-4-8,anthropic_opus_4_8_selector,13.463460000000001,1.0.0,91.0,https://platform.claude.com/docs/en/about-claude/pricing,anthropic,91.0,91.0,1.0,91.0,91.0,posthoc,specguard.deterministic-harness-repair.v1,bare_llm__anthropic_opus_4_8_selector,4dca9dec84f9b5c1820fcdbbcc188f5baf5a0d799b0d45f3dc59bb845cb9b6c4,LLM,"Bare LLM + post-hoc repair - Anthropic claude-opus-4-8, no extended thinking, direct JSON","Anthropic claude-opus-4-8, no extended thinking, direct JSON",Release-candidate Claude Opus 4.8 direct-JSON condition without an extended-thinking budget.
