task_id,system_name,failure_type,count
CARA_LO_CHEMBL1006579_IC50_0001,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,9
CARA_LO_CHEMBL1048115_IC50_0002,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL1243978_IC50_0003,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL1614295_Potency_0004,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL2032586_IC50_0005,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL2038596_IC50_0006,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL2046255_IC50_0007,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL2328568_IC50_0008,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,6
CARA_LO_CHEMBL2328568_IC50_0008,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,2
CARA_LO_CHEMBL3431931_IC50_0009,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL3431931_IC50_0009,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,9
CARA_LO_CHEMBL3705123_IC50_0010,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,6
CARA_LO_CHEMBL3705123_IC50_0010,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,5
CARA_LO_CHEMBL3705125_IC50_0011,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,4
CARA_LO_CHEMBL3705142_IC50_0012,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL3705264_IC50_0013,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3705271_IC50_0014,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3705334_IC50_0015,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3705357_IC50_0016,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,4
CARA_LO_CHEMBL3705358_IC50_0017,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL3705399_Ki_0018,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3705467_IC50_0019,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3705476_IC50_0020,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3705480_Ki_0021,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3705486_Ki_0022,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3705705_IC50_0023,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,6
CARA_LO_CHEMBL3705715_Ki_0024,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,9
CARA_LO_CHEMBL3705825_Ki_0025,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,4
CARA_LO_CHEMBL3705860_IC50_0026,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3705868_IC50_0027,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,11
CARA_LO_CHEMBL3705868_IC50_0027,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,1
CARA_LO_CHEMBL3705882_Ki_0028,llm_tools__deepseek_v4_pro_2026_07_16_selector,schema_failure,2
CARA_LO_CHEMBL3705882_Ki_0028,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,2
CARA_LO_CHEMBL3705899_IC50_0029,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL3705899_IC50_0029,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,1
CARA_LO_CHEMBL3705917_IC50_0030,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,9
CARA_LO_CHEMBL3705960_IC50_0031,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL3705963_IC50_0032,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,3
CARA_LO_CHEMBL3705983_IC50_0033,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3706272_IC50_0034,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,7
CARA_LO_CHEMBL3706298_IC50_0035,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL3706356_IC50_0036,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,3
CARA_LO_CHEMBL3706360_IC50_0037,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,9
CARA_LO_CHEMBL3707497_IC50_0038,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,4
CARA_LO_CHEMBL3707783_IC50_0039,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,7
CARA_LO_CHEMBL3707789_Ki_0040,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3707834_Ki_0041,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3707951_IC50_0042,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,5
CARA_LO_CHEMBL3707962_IC50_0043,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,3
CARA_LO_CHEMBL3707962_IC50_0043,llm_tools__deepseek_v4_pro_2026_07_16_selector,schema_failure,2
CARA_LO_CHEMBL3734174_IC50_0044,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,4
CARA_LO_CHEMBL3734552_EC50_0045,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3883076_IC50_0046,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3887029_Ki_0047,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL3887030_Ki_0048,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL3887063_IC50_0049,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,10
CARA_LO_CHEMBL3887074_IC50_0050,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,4
CARA_LO_CHEMBL3887224_IC50_0051,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3887259_EC50_0052,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,10
CARA_LO_CHEMBL3887288_IC50_0053,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,12
CARA_LO_CHEMBL3887334_IC50_0054,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3887429_IC50_0055,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,4
CARA_LO_CHEMBL3887429_IC50_0055,llm_tools__deepseek_v4_pro_2026_07_16_selector,schema_failure,1
CARA_LO_CHEMBL3887429_IC50_0055,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,2
CARA_LO_CHEMBL3887731_Ki_0056,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3887866_IC50_0057,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,10
CARA_LO_CHEMBL3887887_IC50_0058,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3888033_IC50_0059,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,13
CARA_LO_CHEMBL3888094_IC50_0060,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3888209_IC50_0061,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3888296_IC50_0062,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3888825_IC50_0063,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL3888825_IC50_0063,llm_tools__deepseek_v4_pro_2026_07_16_selector,schema_failure,2
CARA_LO_CHEMBL3888825_IC50_0063,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,1
CARA_LO_CHEMBL3888867_IC50_0064,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3888870_IC50_0065,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL3889097_IC50_0066,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,11
CARA_LO_CHEMBL3889097_IC50_0066,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,3
CARA_LO_CHEMBL3889159_IC50_0067,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL3889186_IC50_0068,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL3889262_IC50_0069,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,5
CARA_LO_CHEMBL4388634_IC50_0070,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,4
CARA_LO_CHEMBL4404752_IC50_0071,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL4418470_EC50_0072,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,4
CARA_LO_CHEMBL4476912_IC50_0073,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL4476963_IC50_0074,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,5
CARA_LO_CHEMBL4477153_IC50_0075,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,5
CARA_LO_CHEMBL4712750_IC50_0076,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL4739819_EC50_0077,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,8
CARA_LO_CHEMBL4739819_EC50_0077,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,4
CARA_LO_CHEMBL641707_IC50_0078,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,2
CARA_LO_CHEMBL648337_IC50_0079,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,8
CARA_LO_CHEMBL652259_IC50_0080,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL656248_IC50_0081,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL658042_Ki_0082,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,1
CARA_LO_CHEMBL658217_Ki_0083,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,10
CARA_LO_CHEMBL663407_Ki_0084,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,5
CARA_LO_CHEMBL664960_Ki_0085,llm_tools__deepseek_v4_pro_2026_07_16_selector,schema_failure,1
CARA_LO_CHEMBL664960_Ki_0085,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,1
CARA_LO_CHEMBL819742_Ki_0086,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,4
CARA_LO_CHEMBL829091_IC50_0087,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,3
CARA_LO_CHEMBL830957_IC50_0088,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,1
CARA_LO_CHEMBL856174_IC50_0089,llm_tools__deepseek_v4_pro_2026_07_16_selector,selection_contract_failure,1
CARA_LO_CHEMBL863649_EC50_0090,llm_tools__deepseek_v4_pro_2026_07_16_selector,none,0
CARA_LO_CHEMBL879102_Ki_0091,llm_tools__deepseek_v4_pro_2026_07_16_selector,constraint_failure,4
