task_id,system_name,failure_type,count
CARA_LO_CHEMBL1006579_IC50_0001,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL1048115_IC50_0002,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL1243978_IC50_0003,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL1614295_Potency_0004,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL2032586_IC50_0005,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL2038596_IC50_0006,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL2046255_IC50_0007,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL2328568_IC50_0008,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3431931_IC50_0009,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705123_IC50_0010,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705125_IC50_0011,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705142_IC50_0012,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705264_IC50_0013,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705271_IC50_0014,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705334_IC50_0015,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705357_IC50_0016,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705358_IC50_0017,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705399_Ki_0018,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705467_IC50_0019,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705476_IC50_0020,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705480_Ki_0021,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705486_Ki_0022,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705705_IC50_0023,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705715_Ki_0024,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705825_Ki_0025,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705860_IC50_0026,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705868_IC50_0027,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705882_Ki_0028,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705899_IC50_0029,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705917_IC50_0030,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705960_IC50_0031,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705963_IC50_0032,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3705983_IC50_0033,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3706272_IC50_0034,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3706298_IC50_0035,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3706356_IC50_0036,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3706360_IC50_0037,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3707497_IC50_0038,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3707783_IC50_0039,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3707789_Ki_0040,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3707834_Ki_0041,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3707951_IC50_0042,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3707962_IC50_0043,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3734174_IC50_0044,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3734552_EC50_0045,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3883076_IC50_0046,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3887029_Ki_0047,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3887030_Ki_0048,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3887063_IC50_0049,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3887074_IC50_0050,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
CARA_LO_CHEMBL3887224_IC50_0051,bare_llm__openai_gpt_5_5_2026_04_23_selector__posthoc_repair,none,0
