task_id,system_name,failure_type,count
CARA_LO_CHEMBL2328568_IC50_0001,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL2328568_IC50_0001,bare_llm__anthropic_frontier,selection_contract_failure,6
CARA_LO_CHEMBL3705123_IC50_0002,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL3705123_IC50_0002,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3889097_IC50_0003,bare_llm__anthropic_frontier,constraint_failure,15
CARA_LO_CHEMBL3705476_IC50_0004,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3887063_IC50_0005,bare_llm__anthropic_frontier,selection_contract_failure,4
CARA_LO_CHEMBL4739819_EC50_0006,bare_llm__anthropic_frontier,selection_contract_failure,4
CARA_LO_CHEMBL3889212_IC50_0007,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3705899_IC50_0008,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3705357_IC50_0009,bare_llm__anthropic_frontier,constraint_failure,8
CARA_LO_CHEMBL3705357_IC50_0009,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3887887_IC50_0010,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3887887_IC50_0010,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3705960_IC50_0011,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL3705960_IC50_0011,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3705868_IC50_0012,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3705983_IC50_0013,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3734174_IC50_0014,bare_llm__anthropic_frontier,constraint_failure,5
CARA_LO_CHEMBL3734174_IC50_0014,bare_llm__anthropic_frontier,selection_contract_failure,3
CARA_LO_CHEMBL3734552_EC50_0015,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3705480_Ki_0016,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3888825_IC50_0017,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3888209_IC50_0018,bare_llm__anthropic_frontier,constraint_failure,12
CARA_LO_CHEMBL3888094_IC50_0019,bare_llm__anthropic_frontier,constraint_failure,6
CARA_LO_CHEMBL3705264_IC50_0020,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3887288_IC50_0021,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL3887288_IC50_0021,bare_llm__anthropic_frontier,selection_contract_failure,5
CARA_LO_CHEMBL3889186_IC50_0022,bare_llm__anthropic_frontier,constraint_failure,4
CARA_LO_CHEMBL3705486_Ki_0023,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL3705486_Ki_0023,bare_llm__anthropic_frontier,selection_contract_failure,5
CARA_LO_CHEMBL4418470_EC50_0024,bare_llm__anthropic_frontier,constraint_failure,6
CARA_LO_CHEMBL3707962_IC50_0025,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3431931_IC50_0026,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3431931_IC50_0026,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3887074_IC50_0027,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3887074_IC50_0027,bare_llm__anthropic_frontier,selection_contract_failure,3
CARA_LO_CHEMBL3887866_IC50_0028,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3887866_IC50_0028,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3887259_EC50_0029,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3705125_IC50_0030,bare_llm__anthropic_frontier,constraint_failure,4
CARA_LO_CHEMBL3705125_IC50_0030,bare_llm__anthropic_frontier,selection_contract_failure,2
CARA_LO_CHEMBL3883076_IC50_0031,bare_llm__anthropic_frontier,constraint_failure,4
CARA_LO_CHEMBL3883076_IC50_0031,bare_llm__anthropic_frontier,selection_contract_failure,2
CARA_LO_CHEMBL3888033_IC50_0032,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL3888033_IC50_0032,bare_llm__anthropic_frontier,selection_contract_failure,2
CARA_LO_CHEMBL3887029_Ki_0033,bare_llm__anthropic_frontier,constraint_failure,4
CARA_LO_CHEMBL3887029_Ki_0033,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL658217_Ki_0034,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL658042_Ki_0035,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3706298_IC50_0036,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL3706298_IC50_0036,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3887456_EC50_0037,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3705825_Ki_0038,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3705860_IC50_0039,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3889266_IC50_0040,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3706356_IC50_0041,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL3706356_IC50_0041,bare_llm__anthropic_frontier,selection_contract_failure,3
CARA_LO_CHEMBL3705399_Ki_0042,bare_llm__anthropic_frontier,selection_contract_failure,3
CARA_LO_CHEMBL3705917_IC50_0043,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3888870_IC50_0044,bare_llm__anthropic_frontier,constraint_failure,13
CARA_LO_CHEMBL3888870_IC50_0044,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3889262_IC50_0045,bare_llm__anthropic_frontier,none,0
CARA_LO_CHEMBL3887334_IC50_0046,bare_llm__anthropic_frontier,selection_contract_failure,3
CARA_LO_CHEMBL3887429_IC50_0047,bare_llm__anthropic_frontier,constraint_failure,2
CARA_LO_CHEMBL3887429_IC50_0047,bare_llm__anthropic_frontier,selection_contract_failure,2
CARA_LO_CHEMBL4477153_IC50_0048,bare_llm__anthropic_frontier,constraint_failure,1
CARA_LO_CHEMBL4477153_IC50_0048,bare_llm__anthropic_frontier,selection_contract_failure,1
CARA_LO_CHEMBL3887030_Ki_0049,bare_llm__anthropic_frontier,constraint_failure,3
CARA_LO_CHEMBL3888871_Ki_0050,bare_llm__anthropic_frontier,constraint_failure,3
