task_id,system_name,failure_type,count
CARA_LO_CHEMBL2328568_IC50_0001,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL2328568_IC50_0001,llm_tools__anthropic_frontier_selector,selection_contract_failure,4
CARA_LO_CHEMBL3705123_IC50_0002,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3889097_IC50_0003,llm_tools__anthropic_frontier_selector,constraint_failure,3
CARA_LO_CHEMBL3705476_IC50_0004,llm_tools__anthropic_frontier_selector,selection_contract_failure,2
CARA_LO_CHEMBL3887063_IC50_0005,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL4739819_EC50_0006,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3889212_IC50_0007,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL3705899_IC50_0008,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3705357_IC50_0009,llm_tools__anthropic_frontier_selector,constraint_failure,4
CARA_LO_CHEMBL3705357_IC50_0009,llm_tools__anthropic_frontier_selector,selection_contract_failure,4
CARA_LO_CHEMBL3887887_IC50_0010,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3705960_IC50_0011,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3705868_IC50_0012,llm_tools__anthropic_frontier_selector,selection_contract_failure,4
CARA_LO_CHEMBL3705983_IC50_0013,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3734174_IC50_0014,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3734552_EC50_0015,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3705480_Ki_0016,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3888825_IC50_0017,llm_tools__anthropic_frontier_selector,constraint_failure,6
CARA_LO_CHEMBL3888209_IC50_0018,llm_tools__anthropic_frontier_selector,constraint_failure,7
CARA_LO_CHEMBL3888094_IC50_0019,llm_tools__anthropic_frontier_selector,selection_contract_failure,10
CARA_LO_CHEMBL3705264_IC50_0020,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3887288_IC50_0021,llm_tools__anthropic_frontier_selector,constraint_failure,4
CARA_LO_CHEMBL3889186_IC50_0022,llm_tools__anthropic_frontier_selector,constraint_failure,4
CARA_LO_CHEMBL3705486_Ki_0023,llm_tools__anthropic_frontier_selector,selection_contract_failure,7
CARA_LO_CHEMBL4418470_EC50_0024,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3707962_IC50_0025,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL3431931_IC50_0026,llm_tools__anthropic_frontier_selector,constraint_failure,2
CARA_LO_CHEMBL3431931_IC50_0026,llm_tools__anthropic_frontier_selector,selection_contract_failure,2
CARA_LO_CHEMBL3887074_IC50_0027,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL3887866_IC50_0028,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL3887866_IC50_0028,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3887259_EC50_0029,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3705125_IC50_0030,llm_tools__anthropic_frontier_selector,constraint_failure,4
CARA_LO_CHEMBL3705125_IC50_0030,llm_tools__anthropic_frontier_selector,selection_contract_failure,2
CARA_LO_CHEMBL3883076_IC50_0031,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3888033_IC50_0032,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3887029_Ki_0033,llm_tools__anthropic_frontier_selector,constraint_failure,3
CARA_LO_CHEMBL658217_Ki_0034,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL658042_Ki_0035,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3706298_IC50_0036,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL3706298_IC50_0036,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL3887456_EC50_0037,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3705825_Ki_0038,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL3705860_IC50_0039,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3889266_IC50_0040,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3706356_IC50_0041,llm_tools__anthropic_frontier_selector,constraint_failure,11
CARA_LO_CHEMBL3705399_Ki_0042,llm_tools__anthropic_frontier_selector,selection_contract_failure,2
CARA_LO_CHEMBL3705917_IC50_0043,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3888870_IC50_0044,llm_tools__anthropic_frontier_selector,constraint_failure,5
CARA_LO_CHEMBL3889262_IC50_0045,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3887334_IC50_0046,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3887429_IC50_0047,llm_tools__anthropic_frontier_selector,constraint_failure,4
CARA_LO_CHEMBL3887429_IC50_0047,llm_tools__anthropic_frontier_selector,selection_contract_failure,1
CARA_LO_CHEMBL4477153_IC50_0048,llm_tools__anthropic_frontier_selector,none,0
CARA_LO_CHEMBL3887030_Ki_0049,llm_tools__anthropic_frontier_selector,constraint_failure,1
CARA_LO_CHEMBL3888871_Ki_0050,llm_tools__anthropic_frontier_selector,constraint_failure,2
